,accuracy,formatted_address,google_place_id,input_string,lat,lng,number_of_results,postcode,status,type
13,APPROXIMATE,Romania,ChIJw3aJlSb_sUARlLEEqJJP74Q,romania,45.943161,24.96676,1,,OK,"country,political"
14,APPROXIMATE,"Downtown, St Louis, MO, USA",ChIJJ0pzx2qz2IcRvXHPs6W_1Rk,Downtown St. Louis MO,38.6266074,-90.1916501,1,,OK,"neighborhood,political"
15,GEOMETRIC_CENTER,"Seattle, WA 98104, USA",ChIJk7JhQbtqkFQRBFKWw7V1BrM,Seattle. 2nd ave ext. and S Jackson stop.,47.5992661,-122.329857,1,98104,OK,"bus_station,establishment,point_of_interest,transit_station"
16,ROOFTOP,"3908 S 76th St, Milwaukee, WI 53220, USA",ChIJ3UiEBCYQBYgRG9JBnJOUeQM,Home town gas station,42.9734082,-88.0074313,1,53220,OK,"establishment,gas_station,point_of_interest"
17,ROOFTOP,"2623 NE University Village St, Seattle, WA 98105, USA",ChIJV3OTAoYUkFQRH3FNgxsjdqI,"University Village, Seattle, WA",47.6631482,-122.2982465,1,98105,OK,"establishment,point_of_interest,shopping_mall"
18,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
19,APPROXIMATE,"Hampton, UK",ChIJKT7g_T8LdkgRCInUKIabVJA,Hampton (London),51.4133939,-0.366712,1,,OK,"locality,political"
20,ROOFTOP,"626 Rutherford Rd, Harrisburg, PA 17109, USA",ChIJWTRL8cu4yIkRYtYbumqNXq0,"Harrisburg, PA- east high",40.2845259,-76.8001736,1,17109,OK,"establishment,point_of_interest,school"
21,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
22,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,Minneapolis,44.977753,-93.2650108,1,,OK,"locality,political"
23,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
24,APPROXIMATE,"Washington Heights, New York, NY, USA",ChIJyzs3Vpz2wokRBAVKClFzdR4,Washington Heights,40.8417082,-73.9393554,1,,OK,"neighborhood,political"
25,ROOFTOP,"201 W 4th St, Pittsburg, KS 66762, USA",ChIJXYcLRvPCx4cRbFoQkEZcdh4,City,37.4107475,-94.7069366,1,66762,OK,"accounting,establishment,finance,library,local_government_office,point_of_interest"
26,APPROXIMATE,"Toronto, ON, Canada",ChIJpTvG15DL1IkRd8S0KlBVNTI,"Toronto, Canada",43.653226,-79.3831843,1,,OK,"locality,political"
27,APPROXIMATE,"Toronto, ON, Canada",ChIJpTvG15DL1IkRd8S0KlBVNTI,"Toronto, Canada",43.653226,-79.3831843,1,,OK,"locality,political"
28,APPROXIMATE,"Toronto, ON, Canada",ChIJpTvG15DL1IkRd8S0KlBVNTI,"Toronto, Canada",43.653226,-79.3831843,1,,OK,"locality,political"
29,APPROXIMATE,"Toronto, ON, Canada",ChIJpTvG15DL1IkRd8S0KlBVNTI,"Toronto, Canada",43.653226,-79.3831843,1,,OK,"locality,political"
30,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, WA",47.6062095,-122.3320708,1,,OK,"locality,political"
31,APPROXIMATE,"Downtown, San Diego, CA, USA",ChIJB7MPbKlU2YARbmqYQPCaQaU,"Downtown, San Diego",32.7167272,-117.1661194,1,,OK,"neighborhood,political"
32,APPROXIMATE,"Larne BT40, UK",ChIJe1btsGSXYUgRE508CtvmOeA,"Larne, N. Ireland",54.8578003,-5.8236224,1,BT40,OK,"locality,political"
33,APPROXIMATE,Colombia,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,4.570868,-74.297333,1,,OK,"country,political"
34,GEOMETRIC_CENTER,"Fd-162, Kentucky, USA",ChIJFaFs_bHweogR76ClNT910Yg,"162nd & Broadway Washington Heights, New York, NY",36.7776415,-88.0876042,10,,OK,route
35,ROOFTOP,"1313 National Ave, San Diego, CA 92101, USA",ChIJRcSy20JT2YARgwC7hSIDONw,"San Diego, CA, USA at a bus stop and walking home",32.7054592,-117.1524601,1,92101,OK,"bus_station,establishment,point_of_interest,transit_station"
36,,,,"St. Louis, NYC, Baltimore, Newark, Granada (Spain), Lima (Peru), Santiago (Chile)",,,0,,ZERO_RESULTS,
37,APPROXIMATE,"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,Washington DC,38.9071923,-77.0368707,1,,OK,"locality,political"
38,GEOMETRIC_CENTER,"Shop No:F-04, First Floor, Pacific Mall, FP cts-42 & 43,Gultekdi, Shankar Seth Road, Vrindavan Society, Guru Nanak Nagar, Pune, Maharashtra 411042, India",ChIJ_dn66jvAwjsRUs5F_sKTJaA,In front of my home!,18.5017,73.8724104,2,411042,OK,"establishment,point_of_interest,store"
39,GEOMETRIC_CENTER,"Shop No:F-04, First Floor, Pacific Mall, FP cts-42 & 43,Gultekdi, Shankar Seth Road, Vrindavan Society, Guru Nanak Nagar, Pune, Maharashtra 411042, India",ChIJ_dn66jvAwjsRUs5F_sKTJaA,In front of my home!,18.5017,73.8724104,2,411042,OK,"establishment,point_of_interest,store"
40,APPROXIMATE,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"Boston, MA",42.3600825,-71.0588801,1,,OK,"locality,political"
41,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
42,APPROXIMATE,"Buenos Aires, Argentina",ChIJvQz5TjvKvJURh47oiC6Bs6A,"Buenos Aires, Argentina",-34.6036844,-58.3815591,1,,OK,"locality,political"
43,APPROXIMATE,"Amsterdam, Netherlands",ChIJVXealLU_xkcRja_At0z9AGY,Amsterdam,52.3702157,4.8951679,1,,OK,"locality,political"
44,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
45,APPROXIMATE,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"BC, Canada",53.7266683,-127.6476205,1,,OK,"administrative_area_level_1,political"
46,APPROXIMATE,"Upper East Side, New York, NY, USA",ChIJa49ICL9YwokRDaotFKkGh2E,"New York, NY, Upper East Side",40.7735649,-73.9565551,1,,OK,"neighborhood,political"
47,APPROXIMATE,"Meatpacking District, New York, NY 10014, USA",ChIJSWHWcMBZwokRnuiJh_NVI3A,"NYC, Meatpacking District",40.7409865,-74.0076108,1,10014,OK,"neighborhood,political"
48,APPROXIMATE,"Lausanne, Switzerland",ChIJ5aeJzT4pjEcRXu7iysk_F-s,"Lausanne, Switzerland",46.5196535,6.6322734,1,,OK,"locality,political"
49,APPROXIMATE,"Leeds, UK",ChIJmb1k2ko-eUgRqdwTAv26rVE,"Leeds, England",53.8007554,-1.5490774,1,,OK,"locality,political"
50,GEOMETRIC_CENTER,"London NW2 1LW, UK",ChIJ2QE5jOkQdkgR2Yx_f0lx81M,London North Circular bus stop,51.5759887,-0.2190932,1,NW2 1LW,OK,"bus_station,establishment,point_of_interest,transit_station"
51,ROOFTOP,"1250 S Capital of Texas Hwy, West Lake Hills, TX 78746, USA",ChIJc0KI6Hc1W4YRqrMFXXsIrT0,capital,30.2806438,-97.823793,1,78746,OK,"establishment,finance,point_of_interest"
52,APPROXIMATE,"Manila, Metro Manila, Philippines",ChIJi8MeVwPKlzMRH8FpEHXV0Wk,"Manila, Philippines",14.5995124,120.9842195,1,,OK,"locality,political"
53,APPROXIMATE,"Baltimore, MD, USA",ChIJt4P01q4DyIkRWOcjQqiWSAQ,"Baltimore, MD",39.2903848,-76.6121893,1,,OK,"locality,political"
54,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, WA, USA",47.6062095,-122.3320708,1,,OK,"locality,political"
55,APPROXIMATE,Sri Lanka,ChIJnR5a9jxZ4joRjNPiALSkPeE,in Sri Lanka,7.873054,80.771797,1,,OK,"country,political"
56,ROOFTOP,"541 Hollander Rd, New Holland, PA 17557, USA",ChIJiQQUyJo_xokR7K73RnzpO1E,"New Holland, Pennsylvania (walking to work)",40.08585,-76.0978559,1,17557,OK,"establishment,general_contractor,point_of_interest"
57,ROOFTOP,"1331 L St NW, Washington, DC 20005, USA",ChIJf_8eG5W3t4kRsZoKkbwLgwM,"1331 L St. NW, Washington, DC",38.9041649,-77.0310296,1,20005,OK,street_address
58,APPROXIMATE,"San Antonio, TX, USA",ChIJrw7QBK9YXIYRvBagEDvhVgg,"San Antonio, Texas",29.4241219,-98.4936282,1,,OK,"locality,political"
59,APPROXIMATE,"Conroe, TX, USA",ChIJSTttVZEkR4YRDhGtHZsrNeY,"Conroe, Texas USA",30.3118769,-95.4560512,1,,OK,"locality,political"
60,ROOFTOP,"88 Greenwich St, New York, NY 10006, USA",ChIJw3zO3RBawokR9MUi9Mk41n4,"The Greenwich Club Residents, NYC",40.7077779,-74.013832,1,10006,OK,"establishment,point_of_interest,real_estate_agency"
61,APPROXIMATE,"Midtown East, New York, NY, USA",ChIJuz0pm-JYwokRfGONItGYHpc,"Midtown East, New York, New York, USA",40.7540369,-73.9668408,1,,OK,"neighborhood,political"
62,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,"London, UK",51.5073509,-0.1277583,1,,OK,"locality,political"
63,ROOFTOP,"1000 4th Ave, Seattle, WA 98104, USA",ChIJ55fLWVtBkFQR0v31eadEoLM,Seattle/wa/USA central library 4th and Madison ,47.6067006,-122.3325009,1,98104,OK,"establishment,library,point_of_interest"
64,GEOMETRIC_CENTER,"Crawford St, Wigan WN1 1NG, UK",ChIJ36fKUHcPe0gRemPxzA9XyoQ,"Lancashire, UK, on the street",53.5457774,-2.6344013,1,WN1 1NG,OK,"establishment,point_of_interest,university"
65,APPROXIMATE,"Harringay, London, UK",ChIJu-6IqvYbdkgRWTIroNxDQhQ,"Harringay, London ",51.582426,-0.09966,1,,OK,"locality,neighborhood,political"
66,APPROXIMATE,Japan,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Japan,36.204824,138.252924,1,,OK,"country,political"
67,APPROXIMATE,"Fussa, Tokyo, Japan",ChIJVaRjoicgGWARTsydKiytchA,"Fussa, Japan",35.7384505,139.3269322,1,,OK,"locality,political"
68,APPROXIMATE,"Lacey, WA, USA",ChIJdbUCPlwLkVQRDrvVGva11RQ,"Lacey, WA",47.0342629,-122.8231915,1,,OK,"locality,political"
69,APPROXIMATE,"Littleton, CO, USA",ChIJKzvi-z98a4cRwDzWrumXBQc,"Littleton, Colorado",39.613321,-105.0166498,1,,OK,"locality,political"
70,APPROXIMATE,"Collier County, FL, USA",ChIJobBYdXKs24gRmut-Oyvi-mw,"Collier & Mt Lebanon, PA",26.069985,-81.4278984,1,,OK,"administrative_area_level_2,political"
71,GEOMETRIC_CENTER,"Crosstown Pkwy, Port St Lucie, FL, United States",ChIJHfVloePr3ogRmdFk2daHJDk,Florida/Gym/Sidewalk,27.2957579,-80.3698065,1,,OK,"establishment,gym,health,point_of_interest"
72,ROOFTOP,"255 13th Ave S, Naples, FL 34102, USA",ChIJvbeE7Azh2ogR5ozgejctCaE,Florida/Pub,26.1312887,-81.8023711,1,34102,OK,"bar,establishment,food,point_of_interest,restaurant"
73,ROOFTOP,"Europaplatz 2, 1150 Wien, Austria",ChIJM3TCt_UHbUcRUQpk10hh5Gs,Austria/Vienna/Westbahnhof,48.1967991,16.3377019,1,1150,OK,"establishment,point_of_interest,train_station,transit_station"
74,APPROXIMATE,"Querétaro, Mexico",ChIJX3BEYdFE04URu2lIpMSxRpE,querétaro,20.5888184,-100.3898876,1,,OK,"administrative_area_level_1,political"
75,,,,"USA, Egypt, Costa Rica - Everywhere ",,,0,,ZERO_RESULTS,
76,GEOMETRIC_CENTER,"Fayetteville, AR 72701, USA",ChIJZ72BuBpvyYcRwWRD0fsm6gw,Ticket office,36.050606,-94.181281,1,72701,OK,"establishment,point_of_interest,store,university"
77,APPROXIMATE,"Ontario, Canada",ChIJrxNRX7IFzkwRCR5iKVZC-HA,"Ontario, Canada",51.253775,-85.323214,1,,OK,"administrative_area_level_1,political"
78,APPROXIMATE,"Ontario, Canada",ChIJrxNRX7IFzkwRCR5iKVZC-HA,"Ontario, Canada",51.253775,-85.323214,1,,OK,"administrative_area_level_1,political"
79,APPROXIMATE,"Winnipeg, MB, Canada",ChIJESsa-ftz6lIRZMq5xvoaKis,Winnipeg/Manitoba/Canada,49.895136,-97.1383744,1,,OK,"locality,political"
80,APPROXIMATE,"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,"Washington, D.C.",38.9071923,-77.0368707,1,,OK,"locality,political"
81,ROOFTOP,"154 Krog St NE #130, Atlanta, GA 30307, USA",ChIJc-At3QcE9YgRKj833s7uxWQ,Everywhere,33.7589188,-84.3640829,2,30307,OK,"establishment,point_of_interest"
82,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
83,APPROXIMATE,"Lexington, NC, USA",ChIJf9aquK2ZU4gRBDunOpwK6m8,"Lexington, NC",35.8240265,-80.2533838,1,,OK,"locality,political"
84,APPROXIMATE,"Cleveland, OH, USA",ChIJLWto4y7vMIgRQhhi91XLBO0,"Cleveland, OH",41.49932,-81.6943605,1,,OK,"locality,political"
85,ROOFTOP,"Swimming Pool, L.W. Minor Street, Prairie View, TX 77445, USA",ChIJPU28u_LLRoYRBZodux87Ajk,Swimming pool,30.0927838,-95.992925,3,77445,OK,premise
86,APPROXIMATE,"Van Nuys, Los Angeles, CA, USA",ChIJa-i6-hqXwoARSIjZDHu_cMg,"Van Nuys, CA",34.1898566,-118.451357,1,,OK,"neighborhood,political"
87,APPROXIMATE,"Honolulu, HI, USA",ChIJTUbDjDsYAHwRbJen81_1KEs,"Honolulu, Hawaii, U.S.",21.3069444,-157.8583333,1,,OK,"locality,political"
88,ROOFTOP,"1335 E 5th Ave, Emporia, KS 66801, USA",ChIJ3aeh56tOuYcREvjTN2uJBXs,Street,38.403528,-96.1574909,1,66801,OK,"establishment,point_of_interest"
89,APPROXIMATE,"Indianapolis, IN, USA",ChIJA2p5p_9Qa4gRfOq5QPadjtY,"Indianapolis, IN",39.768403,-86.158068,1,,OK,"locality,political"
90,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,New York City,40.7127753,-74.0059728,1,,OK,"locality,political"
91,GEOMETRIC_CENTER,"New York, NY 10011, USA",ChIJMYs3Y71ZwokREN6AKkj9eCo,New York 6 Train,40.7375248,-73.9969781,1,10011,OK,"establishment,point_of_interest,subway_station,transit_station"
92,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
93,ROOFTOP,"2415 Western Ave, Seattle, WA 98121, USA",ChIJpeBf-U0VkFQR8FW9VgZ1kGQ,"The street block: 2415 Western Ave, Belltown Seattle, WA.",47.6138424,-122.3496066,1,98121,OK,"beauty_salon,establishment,point_of_interest"
94,APPROXIMATE,"Santa Fe, NM, USA",ChIJqVKY50NQGIcRQN-I_XMjkIw,"Santa Fe, New Mexico",35.6869752,-105.937799,1,,OK,"locality,political"
95,ROOFTOP,"600 N University Dr, Pembroke Pines, FL 33024, USA",ChIJ8YwfJ8Go2YgRy4EtTGV7eNw,"Publix, Pembroke Pines, FL",26.0136353,-80.2516204,1,33024,OK,"bakery,establishment,food,grocery_or_supermarket,liquor_store,point_of_interest,store,supermarket"
96,GEOMETRIC_CENTER,"Cubao Quezon City, Manila, Metro Manila, Philippines",ChIJawCU6v3JlzMR9g-n5Pn3YlQ,"Bus. Manila, Philippines",14.6073359,120.9948564,1,,OK,"establishment,point_of_interest"
97,RANGE_INTERPOLATED,"1378 Columbia Rd NW, Washington, DC 20009, USA",Ei4xMzc4IENvbHVtYmlhIFJkIE5XLCBXYXNoaW5ndG9uLCBEQyAyMDAwOSwgVVNB,"1378 Columbia Rd NW , Washington, District of Columbia",38.9273287,-77.0318636,1,20009,OK,street_address
98,APPROXIMATE,"Walworth, London SE17 1DX, UK",ChIJyVOu6WEDdkgRAq_HLgqmroA,"Walworth,London",51.489876,-0.0928969,1,SE17 1DX,OK,"neighborhood,political"
99,ROOFTOP,"2 Rue de l'Hôtel de Ville, 44000 Nantes, France",ChIJMwnIIDrpBUgRRepn1i93qjM,en france dans la ville de nantes,47.2182735,-1.5546068,1,44000,OK,"city_hall,establishment,local_government_office,point_of_interest"
100,GEOMETRIC_CENTER,"Washington, DC 20005, USA",ChIJZ-js-JW3t4kRqPsvqbFVEPU,"McPherson Square bus stop, Washington, DC",38.9012474,-77.032198,1,20005,OK,"establishment,point_of_interest,transit_station"
101,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,"Minneapolis, MN",44.977753,-93.2650108,1,,OK,"locality,political"
102,APPROXIMATE,"Managua, Nicaragua",ChIJC4gH2Q1WcY8RakxPFKL0Xmw,Managua,12.1149926,-86.2361744,1,,OK,"locality,political"
103,APPROXIMATE,"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,"Washington, DC",38.9071923,-77.0368707,1,,OK,"locality,political"
104,APPROXIMATE,"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,"Washington, DC",38.9071923,-77.0368707,1,,OK,"locality,political"
105,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,NYC,40.7127753,-74.0059728,1,,OK,"locality,political"
106,ROOFTOP,"7514 Old White Horse Rd, Greenville, SC 29617, USA",ChIJOfF5GE4xWIgRzGXRNGvt9DE,"Greenville SC, at a rollerskating rink",34.8835758,-82.4682022,1,29617,OK,"establishment,point_of_interest"
107,APPROXIMATE,Nepal,ChIJz2gufcfolTkR3obM0LyaojQ,Nepal,28.394857,84.124008,1,,OK,"country,political"
108,,,,1 incident occurred outside my local library and the other was while I was coming out of the bank ,,,0,,ZERO_RESULTS,
109,APPROXIMATE,"Massachusetts, USA",ChIJ_b9z6W1l44kRHA2DVTbQxkU,MA,42.4072107,-71.3824374,1,,OK,"administrative_area_level_1,political"
110,,,,"Netherlands, on my way home",,,0,,ZERO_RESULTS,
111,ROOFTOP,"398 County St, New Bedford, MA 02740, USA",ChIJh008be3j5IkRppDwws--u7I,near construction site,41.630834,-70.928798,1,2740,OK,"establishment,general_contractor,point_of_interest"
112,APPROXIMATE,"Quezon City, Metro Manila, Philippines",ChIJdXPvQgm6lzMRQD0I_tkymko,"Quezon City, Manila, Philippines",14.6760413,121.0437003,1,,OK,"locality,political"
113,,,,"Tompkins Barracks, Schwetzingen FRG ",,,0,,ZERO_RESULTS,
114,GEOMETRIC_CENTER,"Dolores St, San Francisco, CA, USA",ChIJ6Zfx6hV-j4ARp10ZoiH1Qms,San Francisco's Delores Street,37.7548848,-122.4255411,1,,OK,route
115,APPROXIMATE,"Dublin, Ireland",ChIJL6wn6oAOZ0gRoHExl6nHAAo,Dublin,53.3498053,-6.2603097,1,,OK,"locality,political"
116,GEOMETRIC_CENTER,"Bowery, New York, NY 10002, USA",ChIJ4fAuO4ZZwokR9ytaxyuxLOc,NYC subway,40.7203142,-73.9934421,1,10002,OK,"establishment,point_of_interest,subway_station,transit_station"
117,APPROXIMATE,"Philadelphia, PA, USA",ChIJ60u11Ni3xokRwVg-jNgU9Yk,"Philadelphia, PA",39.9525839,-75.1652215,1,,OK,"locality,political"
118,,,,"Seattle, Austria, Italy",,,0,,ZERO_RESULTS,
119,APPROXIMATE,"Illinois, USA",ChIJGSZubzgtC4gRVlkRZFCCFX8,Illinois,40.6331249,-89.3985283,1,,OK,"administrative_area_level_1,political"
120,APPROXIMATE,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"Boston, MA",42.3600825,-71.0588801,1,,OK,"locality,political"
121,ROOFTOP,"2611 E Douglas Ave, Wichita, KS 67211, USA",ChIJ6RW3V3TjuocRQ7d4S_ci5Pc,A coffee shop ,37.685976,-97.3052162,1,67211,OK,"cafe,establishment,food,point_of_interest,store"
122,ROOFTOP,"727 N Co Rd 599, Luxora, AR 72358, USA",ChIJ4eZTyKtXf4gRSFUVTYuHhKA,AR prison,35.7815299,-89.9634757,1,72358,OK,"establishment,point_of_interest"
123,ROOFTOP,"200 5th Ave, New York, NY 10010, USA",ChIJaeKcEaRZwokRcllXm5cM7J0,"New York City, 5th Ave (near Eataly)",40.7420759,-73.9894906,1,10010,OK,"establishment,food,grocery_or_supermarket,meal_takeaway,point_of_interest,restaurant,store"
124,ROOFTOP,"416 N Water St, Mobile, AL 36602, USA",ChIJzT9foilQmogRvK2cd1qAAlE,"Mobile, AL, USA/Exxon station",30.6997559,-88.0446388,1,36602,OK,"establishment,gas_station,point_of_interest"
125,APPROXIMATE,"Buena Park, CA, USA",ChIJK11gE_Qr3YARJf7ozeXun80,"Buena Park, Ca.",33.8674044,-117.9981387,1,,OK,"locality,political"
126,APPROXIMATE,"Santa Ana, CA, USA",ChIJhTCCbJXb3IARvP0eHzqET8c,"Santa Ana, Ca.",33.7454725,-117.867653,1,,OK,"locality,political"
127,GEOMETRIC_CENTER,"NY-2, New York, USA",ChIJIUdSRdIc3okR9JbidWt435g,new york2,42.7539252,-73.5343296,1,,OK,route
128,,,,Watching the ships in a harbor. Northern Minnesota,,,0,,ZERO_RESULTS,
129,ROOFTOP,"528 Klondyke Rd i, Long Beach, MS 39560, USA",ChIJFwvAQZU8nIgRSk_lhZG16Pw,Several places,30.365053,-89.152665,2,39560,OK,"art_gallery,establishment,point_of_interest"
130,APPROXIMATE,"Murfreesboro, TN, USA",ChIJQQEXWw74Y4gR9ne11iq5DIU,"Murfreesboro, TN, USA",35.8456213,-86.39027,1,,OK,"locality,political"
131,APPROXIMATE,"Vancouver, BC, Canada",ChIJs0-pQ_FzhlQRi_OBm-qWkbs,"Vancouver, BC",49.2827291,-123.1207375,1,,OK,"locality,political"
132,ROOFTOP,"Bellingham International Airport, 4255 Mitchell Way, Bellingham, WA 98226, USA",ChIJWYRqu8y8hVQRqlWYIFz4-Dc,"Bellingham Airport, WA",48.7941603,-122.5363851,1,98226,OK,"airport,establishment,point_of_interest"
133,APPROXIMATE,"Vancouver, BC, Canada",ChIJs0-pQ_FzhlQRi_OBm-qWkbs,"Vancouver, BC",49.2827291,-123.1207375,1,,OK,"locality,political"
134,ROOFTOP,"Greyhound, 1150 Station St, Vancouver, BC V6A 4C7, Canada",ChIJ5URWK2RxhlQR_U3bVjee0WQ,Vancouver BC bus,49.2735585,-123.0978397,1,V6A 4C7,OK,"establishment,point_of_interest"
135,APPROXIMATE,"Vancouver, BC, Canada",ChIJs0-pQ_FzhlQRi_OBm-qWkbs,"Vancouver, BC",49.2827291,-123.1207375,1,,OK,"locality,political"
136,APPROXIMATE,"Vancouver, BC, Canada",ChIJs0-pQ_FzhlQRi_OBm-qWkbs,"Vancouver, BC",49.2827291,-123.1207375,1,,OK,"locality,political"
137,APPROXIMATE,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"Boston, MA",42.3600825,-71.0588801,1,,OK,"locality,political"
138,ROOFTOP,"8155 Arroyo Cir, Gilroy, CA 95020, USA",ChIJs1sLBMPjkYARpyk9fWqiFMs,California / store,37.0203712,-121.5633206,1,95020,OK,"clothing_store,establishment,point_of_interest,shoe_store,store"
139,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
140,ROOFTOP,"5625 Buford Hwy NE, Doraville, GA 30340, USA",ChIJs5zkQd8J9YgRY8QRFzgmNDI,"Doraville, GA, USA-BP Gas Station",33.9047584,-84.2710665,1,30340,OK,"convenience_store,establishment,food,gas_station,point_of_interest,store"
141,ROOFTOP,"4239 W McDowell Rd, Phoenix, AZ 85009, USA",ChIJcxHMwHsUK4cRqiUbRm3G_sk,"Food City supermarket, Phoenix Arizona",33.4650174,-112.1502151,1,85009,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
142,APPROXIMATE,"Downtown, Sacramento, CA, USA",ChIJQyZcyi7RmoARalMluTk9A78,"Sacramento, CA downtown",38.5777528,-121.4941738,1,,OK,"neighborhood,political"
143,GEOMETRIC_CENTER,"Pacific Ave, Santa Cruz, CA 95060, USA",ChIJux4laJ1qjoARZ3QH3j467_M,"Santa Cruz, Ca (Pacific st.)",36.9700058,-122.0250298,1,95060,OK,route
144,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,LONDON,51.5073509,-0.1277583,1,,OK,"locality,political"
145,,,,maryland. i was walking home from the store.,,,0,,ZERO_RESULTS,
146,APPROXIMATE,"Sydney NSW, Australia",ChIJP3Sa8ziYEmsRUKgyFmh9AQM,"Sydney, Australia ",-33.8688197,151.2092955,1,,OK,"colloquial_area,locality,political"
